"","x","y","cell","Grass","TBDT","TNDT","TNET"
"1779",141000,1486000,323,0,12.9632471498203,6.88857834218486,9.42859866449188
"1860",149000,1486000,324,0,54.0103157656031,28.0613411005362,94.3207248173225
"1941",157000,1486000,325,0,14.8614390978772,0,14.8614390978772
"1698",133000,1478000,618,0,0,5.44668897868532,5.44668897868532
"1778",141000,1478000,619,0,17.5077900914256,72.3877343852711,42.1171207507024
"1859",149000,1478000,620,0,45.2880791826846,70.8708180324128,77.6417389363552
"1940",157000,1478000,621,0,45.9306492893695,0.892555880270101,10.8226163955765
"212",-19000,1470000,895,0,4.2047438244007,0,0
"291",-11000,1470000,896,0,0,0,0
"370",-3000,1470000,897,0,0,0,0
"449",5000,1470000,898,0,0,0,0
"1697",133000,1470000,914,0,43.4306906155924,90.6504554171717,21.0518186807333
"1777",141000,1470000,915,0,11.3201072171667,58.8160041651039,66.7151293349372
"1858",149000,1470000,916,0,20.3260696204153,85.0511245484728,51.7144235884093
"1939",157000,1470000,917,0,61.7288078317933,0,0
"211",-19000,1462000,1191,0,2.53677128407983,0,0
"290",-11000,1462000,1192,0,0,0,0
"369",-3000,1462000,1193,0,0,0,0
"448",5000,1462000,1194,0,2.02153106778589,0,0
"527",13000,1462000,1195,0,8.36404267664532,0,0
"605",21000,1462000,1196,0,9.07433206712733,0,0
"683",29000,1462000,1197,0,15.8405208716528,12.0118234468818,0
"762",37000,1462000,1198,0,1.32056176261502,0,0.491812175830152
"841",45000,1462000,1199,0,6.94765149027939,0.2936792200443,0.675727577111741
"920",53000,1462000,1200,0,5.05864940677034,0.54067620365937,0
"1696",133000,1462000,1210,0,18.9682422988184,0,0
"1776",141000,1462000,1211,0,15.9872964145946,101.383971969572,20.2102585635816
"1857",149000,1462000,1212,0,29.9743986034074,39.5768213782892,34.7142667880735
"1938",157000,1462000,1213,0,67.5238534909194,0,0
"210",-19000,1454000,1487,0,2.32253791426584,0,0
"289",-11000,1454000,1488,0,0,0,0
"368",-3000,1454000,1489,0,2.78961305136026,0,0
"447",5000,1454000,1490,0,0.0170066215917033,0,0
"526",13000,1454000,1491,0,20.9435045688279,0,0
"604",21000,1454000,1492,0,20.7147554837449,0,0
"682",29000,1454000,1493,0,1.05726752848781,0,0
"761",37000,1454000,1494,0,0,0,0
"840",45000,1454000,1495,0,7.0760880854312,35.5465861936832,0
"919",53000,1454000,1496,0,0,6.07912115319522,0
"998",61000,1454000,1497,0,0,22.7195317659452,2.97274446368726
"1076",69000,1454000,1498,0,45.8296525292961,32.4049156588871,35.5488360789586
"1154",77000,1454000,1499,0,28.5751731246095,59.0452415283281,16.6832001750736
"1232",85000,1454000,1500,0,0.164029648979302,97.5162413352254,9.07184638595216
"1311",93000,1454000,1501,0,3.53544115583051,156.754850460102,19.0765263496774
"1390",101000,1454000,1502,0,38.5015123535024,42.1438864528784,20.3784110297908
"209",-19000,1446000,1783,0,2.20355514528296,0,0
"288",-11000,1446000,1784,0,5.80188934223097,0,0
"367",-3000,1446000,1785,0,0.652142512160782,0,0
"446",5000,1446000,1786,0,2.00896333289211,0,0
"525",13000,1446000,1787,0,10.3958686709617,0,0
"603",21000,1446000,1788,0,1.76412628163367,0,0
"681",29000,1446000,1789,0,25.5066835659515,0,0
"760",37000,1446000,1790,0,54.5226739284785,0,0
"839",45000,1446000,1791,0,60.382258945837,0,0
"918",53000,1446000,1792,0,34.5500096348011,0,0
"997",61000,1446000,1793,0,13.3047775837124,0.0661190811916589,0
"1075",69000,1446000,1794,0,7.4159478165237,0,0
"1153",77000,1446000,1795,0,1.44390035498856,5.87938939077543,0
"1231",85000,1446000,1796,0,0.0394959414652317,58.420005935671,0
"1310",93000,1446000,1797,0,2.00565594359892,140.229707945441,38.5572612790693
"1389",101000,1446000,1798,0,44.3631720550894,55.6189177639772,66.6661274232805
"1468",109000,1446000,1799,0,12.4115877409415,62.201193832948,13.5005379327439
"1544",117000,1446000,1800,0,146.441866240905,58.2802283154569,76.0901496085581
"208",-19000,1438000,2079,0,0,0,0
"287",-11000,1438000,2080,0,0.0101847295370093,0,0
"366",-3000,1438000,2081,0,0.210882121655579,0,0
"445",5000,1438000,2082,0,35.9560653547849,0,0
"524",13000,1438000,2083,0,4.23765929885884,0,0
"602",21000,1438000,2084,0,7.54353125294052,0,0
"680",29000,1438000,2085,0,13.2618863620523,0,0
"759",37000,1438000,2086,0,10.6613591195799,0,0
"838",45000,1438000,2087,0,13.4952010901038,0,0
"917",53000,1438000,2088,0,17.0167696722991,0,0
"996",61000,1438000,2089,0,4.08972293878556,0,0
"1074",69000,1438000,2090,0,4.3729187458027,0,0
"1152",77000,1438000,2091,0,8.03789182145191,0.760298204169864,0
"1230",85000,1438000,2092,0,22.2102420690988,0,0
"1309",93000,1438000,2093,0,3.53231893217587,9.10876231924159,0
"1388",101000,1438000,2094,0,32.6885038769116,76.4653618774589,24.1103044709166
"1467",109000,1438000,2095,0,11.1375609062402,50.9616154254767,32.9527384330465
"1543",117000,1438000,2096,0,95.8670056852702,45.2563152202686,14.2665898295592
"1619",125000,1438000,2097,0,62.9747776809142,0,0
"1695",133000,1438000,2098,0,192.209369913223,0.751065264880778,45.2891554637109
"1775",141000,1438000,2099,0,211.651558404916,37.9247733430931,53.4170365196176
"1856",149000,1438000,2100,0,403.584858464821,9.07643222601488,58.8284181304198
"207",-19000,1430000,2375,0,146.16685889334,0,0
"286",-11000,1430000,2376,0,0.111181132751026,0,0
"365",-3000,1430000,2377,0,0,0,0
