"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
141000,1486000,323,0,0,0,0,1.53776299142384,0,0,4.45333584117269,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4254841583965,4.97526282331919,0,6.88857834218486,0,0,0,0
149000,1486000,324,0,0,0,0,6.35263975217103,0,0,4.52744103032288,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6576760134321,89.7932837869996,0,28.0613411005362,0,0,0,0
157000,1486000,325,0,0,0,0,14.8614390978772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8614390978772,0,0,0,0,0,0
133000,1478000,618,0,0,0,0,0,0,0,5.44668897868532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44668897868532,0,0,0,0
141000,1478000,619,0.113357886086846,0,0,0,0.722638369517383,0,0,8.80421969294247,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6717938358213,33.3129010577599,0,72.3877343852711,0,0,0,0
149000,1478000,620,0,0.248864428150537,0,0,7.19175628063945,0,0,22.2513877134634,0,0,0,0.293228866595206,0,0,0,0,0,0,0,0,0,37.8474584738947,55.0971223562966,0,70.8708180324128,0,0,0,0
157000,1478000,621,0,0,0,0,17.5193241195946,0,0,0,0,0,0,2.48715040977306,0,0,0,0,0,0,0,0,1.51066313374814,24.9524952892026,6.82480285205531,0,0.892555880270101,0,0,0,3.45882988057236
-19000,1470000,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11198673878438,0,0,1.05590536322919,0,0,0,0,0,0,0.0368517223871336
-11000,1470000,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1470000,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1470000,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133000,1470000,914,0,0,0,0,0.858223083333683,0,0,0.838217175038841,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5499688585229,20.2136015056945,0,90.6504554171717,0,0,0,8.02249867373581
141000,1470000,915,0,0,0,0,7.04277122419102,0,0,9.21114506716483,0,0,0,0.78738547532763,0,0,0,0,0,0,0,0,0,4.19717791457817,56.7165987924447,0,58.8160041651039,0,0,0,0.0801580783974832
149000,1470000,916,0,3.72494110390036,0,0,10.0943678894946,0,0,14.8967901247076,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50676062702027,36.8176334637017,0,85.0511245484728,0,0,0,0
157000,1470000,917,0,0,0,0,0,0,0,0,61.7288078317933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19000,1462000,1191,0,1.33476633453264,0,0,0,0,0,0,0,0,0.171083755835715,0,0,0,0,0,0,0,0.892223329690365,0,0,0.13869786402111,0,0,0,0,0,0,0
-11000,1462000,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1462000,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1462000,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02153106778589,0,0,0,0,0,0,0
13000,1462000,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022160713445744,0,0,7.55341263357292,0,0,0,0,0,0,0.788469329626649
21000,1462000,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715795282366738,0,0,8.35853678476059,0,0,0,0,0,0,0
29000,1462000,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8405208716528,0,0,12.0118234468818,0,0,0,0
37000,1462000,1198,0,0.0180238750311627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491812175830152,1.30253788758386,0,0,0,0,0,0,0
45000,1462000,1199,0,0.773628118421038,0,0,0,0,0,0,0,0,0.121183169268424,0,0,0,0,0,0,0,0,0,0.675727577111741,6.05284020258993,0,0,0.2936792200443,0,0,0,0
53000,1462000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05864940677034,0,0,0.54067620365937,0,0,0,0
133000,1462000,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9682422988184
141000,1462000,1211,0,3.79843834077601,0,0,0,0,0,1.96201038865298,0,0,6.99649110248419,0,0,0,0,0,0,0,0,0,0,5.19236697133445,18.2482481749286,0,101.383971969572,0,0,0,0
149000,1462000,1212,0,0,0,0,29.9743986034074,0,0,10.2750424232344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4392243648391,0,39.5768213782892,0,0,0,0
157000,1462000,1213,0,58.564639538146,0,0,0,0,0,0,0,0,8.95921395277341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19000,1454000,1487,0,0.401129547456354,0,0,0,0,0,0,0,0,1.49279933348153,0,0,0,0,0,0,0,0.42860903332796,0,0,0,0,0,0,0,0,0,0
-11000,1454000,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1454000,1489,0,1.84155315480983,0,0,0,0,0,0,0,0,0.935993593712464,0,0,0,0,0,0,0,0.0120663028379624,0,0,0,0,0,0,0,0,0,0
5000,1454000,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00850331079585166,0,0,0.00850331079585166,0,0,0,0,0,0,0
13000,1454000,1491,0,0.00350973138703518,0,0,0,0,0,0,0,0,5.66108633446843,0,0,0,0,0,0,0,0.145984721057019,0,0,15.1329237819154,0,0,0,0,0,0,0
