"x","y","cell","plots"
141000,1486000,323,28
149000,1486000,324,11
157000,1486000,325,1
133000,1478000,618,1
141000,1478000,619,71
149000,1478000,620,68
157000,1478000,621,12
-19000,1470000,895,19
-11000,1470000,896,33
-3000,1470000,897,21
5000,1470000,898,8
133000,1470000,914,10
141000,1470000,915,69
149000,1470000,916,53
157000,1470000,917,1
-19000,1462000,1191,31
-11000,1462000,1192,74
-3000,1462000,1193,74
5000,1462000,1194,74
13000,1462000,1195,70
21000,1462000,1196,48
29000,1462000,1197,33
37000,1462000,1198,26
45000,1462000,1199,17
53000,1462000,1200,5
133000,1462000,1210,3
141000,1462000,1211,17
149000,1462000,1212,5
157000,1462000,1213,2
-19000,1454000,1487,22
-11000,1454000,1488,73
-3000,1454000,1489,73
5000,1454000,1490,73
13000,1454000,1491,69
21000,1454000,1492,55
29000,1454000,1493,63
37000,1454000,1494,67
45000,1454000,1495,39
53000,1454000,1496,31
61000,1454000,1497,32
69000,1454000,1498,47
77000,1454000,1499,32
85000,1454000,1500,27
93000,1454000,1501,18
101000,1454000,1502,5
-19000,1446000,1783,14
-11000,1446000,1784,74
-3000,1446000,1785,76
5000,1446000,1786,74
13000,1446000,1787,71
21000,1446000,1788,58
29000,1446000,1789,54
37000,1446000,1790,75
45000,1446000,1791,27
53000,1446000,1792,29
61000,1446000,1793,46
69000,1446000,1794,71
77000,1446000,1795,54
85000,1446000,1796,31
93000,1446000,1797,46
101000,1446000,1798,67
109000,1446000,1799,54
117000,1446000,1800,41
-19000,1438000,2079,4
-11000,1438000,2080,73
-3000,1438000,2081,72
5000,1438000,2082,76
13000,1438000,2083,73
21000,1438000,2084,55
29000,1438000,2085,66
37000,1438000,2086,35
45000,1438000,2087,41
53000,1438000,2088,70
61000,1438000,2089,50
69000,1438000,2090,76
77000,1438000,2091,73
85000,1438000,2092,59
93000,1438000,2093,21
101000,1438000,2094,67
109000,1438000,2095,59
117000,1438000,2096,59
125000,1438000,2097,5
133000,1438000,2098,16
141000,1438000,2099,62
149000,1438000,2100,24
-19000,1430000,2375,11
-11000,1430000,2376,75
-3000,1430000,2377,72
5000,1430000,2378,67
13000,1430000,2379,72
21000,1430000,2380,70
29000,1430000,2381,56
37000,1430000,2382,59
45000,1430000,2383,74
53000,1430000,2384,76
61000,1430000,2385,59
69000,1430000,2386,72
77000,1430000,2387,74
85000,1430000,2388,65
93000,1430000,2389,49
101000,1430000,2390,74
109000,1430000,2391,64
117000,1430000,2392,61
125000,1430000,2393,72
133000,1430000,2394,77
141000,1430000,2395,73
149000,1430000,2396,51
157000,1430000,2397,5
-19000,1422000,2671,54
-11000,1422000,2672,65
-3000,1422000,2673,68
5000,1422000,2674,74
13000,1422000,2675,68
21000,1422000,2676,57
29000,1422000,2677,63
37000,1422000,2678,77
45000,1422000,2679,67
53000,1422000,2680,63
61000,1422000,2681,61
69000,1422000,2682,66
77000,1422000,2683,69
85000,1422000,2684,65
93000,1422000,2685,71
101000,1422000,2686,68
109000,1422000,2687,65
117000,1422000,2688,64
125000,1422000,2689,75
133000,1422000,2690,75
141000,1422000,2691,70
149000,1422000,2692,70
157000,1422000,2693,66
165000,1422000,2694,6
-19000,1414000,2967,53
-11000,1414000,2968,20
-3000,1414000,2969,58
5000,1414000,2970,78
13000,1414000,2971,73
21000,1414000,2972,49
29000,1414000,2973,54
37000,1414000,2974,76
45000,1414000,2975,73
53000,1414000,2976,73
61000,1414000,2977,65
69000,1414000,2978,66
77000,1414000,2979,65
85000,1414000,2980,72
93000,1414000,2981,72
101000,1414000,2982,72
109000,1414000,2983,55
117000,1414000,2984,62
125000,1414000,2985,48
133000,1414000,2986,62
141000,1414000,2987,64
149000,1414000,2988,82
157000,1414000,2989,71
165000,1414000,2990,26
-27000,1406000,3262,2
-19000,1406000,3263,49
-11000,1406000,3264,72
-3000,1406000,3265,74
5000,1406000,3266,74
13000,1406000,3267,75
21000,1406000,3268,70
29000,1406000,3269,71
37000,1406000,3270,67
45000,1406000,3271,66
53000,1406000,3272,78
61000,1406000,3273,70
69000,1406000,3274,64
77000,1406000,3275,63
85000,1406000,3276,71
93000,1406000,3277,72
101000,1406000,3278,72
109000,1406000,3279,75
117000,1406000,3280,69
125000,1406000,3281,66
133000,1406000,3282,71
141000,1406000,3283,72
149000,1406000,3284,74
157000,1406000,3285,73
165000,1406000,3286,64
173000,1406000,3287,45
181000,1406000,3288,38
189000,1406000,3289,21
-27000,1398000,3558,4
-19000,1398000,3559,64
-11000,1398000,3560,55
-3000,1398000,3561,72
5000,1398000,3562,73
13000,1398000,3563,72
21000,1398000,3564,70
29000,1398000,3565,70
37000,1398000,3566,66
45000,1398000,3567,70
53000,1398000,3568,69
61000,1398000,3569,68
69000,1398000,3570,40
77000,1398000,3571,60
85000,1398000,3572,75
93000,1398000,3573,76
101000,1398000,3574,70
109000,1398000,3575,75
117000,1398000,3576,72
125000,1398000,3577,74
133000,1398000,3578,72
141000,1398000,3579,73
149000,1398000,3580,72
157000,1398000,3581,73
165000,1398000,3582,71
173000,1398000,3583,73
181000,1398000,3584,77
189000,1398000,3585,65
197000,1398000,3586,30
205000,1398000,3587,19
213000,1398000,3588,3
-27000,1390000,3854,9
-19000,1390000,3855,73
-11000,1390000,3856,73
-3000,1390000,3857,73
5000,1390000,3858,71
13000,1390000,3859,71
21000,1390000,3860,70
29000,1390000,3861,69
37000,1390000,3862,71
45000,1390000,3863,64
53000,1390000,3864,50
61000,1390000,3865,36
69000,1390000,3866,68
77000,1390000,3867,69
85000,1390000,3868,67
93000,1390000,3869,65
101000,1390000,3870,71
109000,1390000,3871,72
117000,1390000,3872,77
125000,1390000,3873,69
133000,1390000,3874,74
141000,1390000,3875,72
149000,1390000,3876,67
157000,1390000,3877,71
165000,1390000,3878,74
173000,1390000,3879,75
181000,1390000,3880,80
189000,1390000,3881,76
197000,1390000,3882,73
205000,1390000,3883,75
213000,1390000,3884,70
221000,1390000,3885,41
-27000,1382000,4150,29
-19000,1382000,4151,69
-11000,1382000,4152,72
-3000,1382000,4153,75
5000,1382000,4154,71
13000,1382000,4155,68
21000,1382000,4156,70
29000,1382000,4157,68
37000,1382000,4158,56
45000,1382000,4159,67
53000,1382000,4160,48
61000,1382000,4161,20
69000,1382000,4162,32
77000,1382000,4163,44
85000,1382000,4164,64
93000,1382000,4165,66
101000,1382000,4166,54
109000,1382000,4167,59
117000,1382000,4168,74
125000,1382000,4169,67
133000,1382000,4170,72
141000,1382000,4171,74
149000,1382000,4172,73
157000,1382000,4173,71
165000,1382000,4174,72
173000,1382000,4175,80
181000,1382000,4176,74
189000,1382000,4177,71
197000,1382000,4178,74
205000,1382000,4179,73
213000,1382000,4180,73
221000,1382000,4181,57
229000,1382000,4182,3
237000,1382000,4183,3
